open_time,close_time,strat,dir,entry,exit,lots,pnl,commission,swap,market_state_on_open,liquidity_score_on_open,slippage,exec_ms,was_limit
2026.02.09 13:30:38,2026.02.09 13:34:05,EMA,-1,5007.53000,5003.31000,0.01,4.22,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.09 14:02:03,2026.02.09 14:04:31,EMA,-1,5010.81000,5010.73000,0.01,0.08,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.09 14:06:00,2026.02.09 14:06:31,EMA,1,5015.30000,5013.21000,0.01,-2.09,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.09 14:19:28,2026.02.09 14:20:38,EMA,-1,5012.61000,5014.62000,0.01,-2.01,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.09 14:26:29,2026.02.09 14:29:13,EMA,1,5013.84000,5011.82000,0.01,-2.02,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.09 14:27:28,2026.02.09 14:30:28,EMA,-1,5014.39000,5016.49000,0.01,-2.10,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.09 14:31:29,2026.02.09 14:31:39,EMA,1,5016.01000,5014.01000,0.01,-2.00,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.09 15:05:40,2026.02.09 15:10:40,EMA,-1,5022.46000,5024.39000,0.01,-1.93,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.10 11:03:00,2026.02.10 11:03:38,EMA,1,5047.90000,5051.52000,0.01,3.62,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.10 11:23:04,2026.02.10 11:31:16,EMA,1,5052.62000,5050.53000,0.01,-2.09,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.10 11:52:30,2026.02.10 11:54:19,EMA,1,5048.33000,5046.30000,0.01,-2.03,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.10 11:55:14,2026.02.10 11:55:42,EMA,-1,5045.93000,5042.36000,0.01,3.57,-0.03,0.00,0,0.00,0.00000,0,0
